model_name,batch_size,input_shape,execution_time_ms,total_parameters,trainable_parameters,model_size_mb,device
vgg16,1,"(3, 224, 224)",77.14605331420898,138357544,138357544,527.7921447753906,cpu
vgg16,2,"(3, 224, 224)",134.51697826385498,138357544,138357544,527.7921447753906,cpu
vgg16,4,"(3, 224, 224)",262.257981300354,138357544,138357544,527.7921447753906,cpu
