model_name,batch_size,input_shape,execution_time_ms,total_parameters,trainable_parameters,model_size_mb,device
regnet_y_400mf,1,"(3, 224, 224)",29.915809631347656,4344144,4344144,16.675575256347656,cpu
regnet_y_400mf,2,"(3, 224, 224)",37.80009746551514,4344144,4344144,16.675575256347656,cpu
regnet_y_400mf,4,"(3, 224, 224)",47.243475914001465,4344144,4344144,16.675575256347656,cpu
